folder,pdf_id,ref_link,pdf_url
50,875,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/875,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/875/filename/folder_0050.pdf/mapsto/pdf/type/singleitem/folder_0050.pdf
51,979,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/979,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/979/filename/folder_0051.pdf/mapsto/pdf/type/singleitem/folder_0051.pdf
52,910,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/910,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/910/filename/folder_0052.pdf/mapsto/pdf/type/singleitem/folder_0052.pdf
53,887,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/887,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/887/filename/folder_0053.pdf/mapsto/pdf/type/singleitem/folder_0053.pdf
54,942,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/942,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/942/filename/folder_0054.pdf/mapsto/pdf/type/singleitem/folder_0054.pdf
55,873,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/873,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/873/filename/folder_0055.pdf/mapsto/pdf/type/singleitem/folder_0055.pdf
56,1022,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1022,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1022/filename/folder_0056.pdf/mapsto/pdf/type/singleitem/folder_0056.pdf
57,915,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/915,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/915/filename/folder_0057.pdf/mapsto/pdf/type/singleitem/folder_0057.pdf
58,872,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/872,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/872/filename/folder_0058.pdf/mapsto/pdf/type/singleitem/folder_0058.pdf
59,993,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/993,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/993/filename/folder_0059.pdf/mapsto/pdf/type/singleitem/folder_0059.pdf
60,896,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/896,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/896/filename/folder_0060.pdf/mapsto/pdf/type/singleitem/folder_0060.pdf
61,1011,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1011,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1011/filename/folder_0061.pdf/mapsto/pdf/type/singleitem/folder_0061.pdf
62,903,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/903,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/903/filename/folder_0062.pdf/mapsto/pdf/type/singleitem/folder_0062.pdf
63,1020,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1020,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1020/filename/folder_0063.pdf/mapsto/pdf/type/singleitem/folder_0063.pdf
64,984,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/984,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/984/filename/folder_0064.pdf/mapsto/pdf/type/singleitem/folder_0064.pdf
65,881,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/881,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/881/filename/folder_0065.pdf/mapsto/pdf/type/singleitem/folder_0065.pdf
66,983,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/983,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/983/filename/folder_0066.pdf/mapsto/pdf/type/singleitem/folder_0066.pdf
67,902,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/902,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/902/filename/folder_0067.pdf/mapsto/pdf/type/singleitem/folder_0067.pdf
68,876,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/876,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/876/filename/folder_0068.pdf/mapsto/pdf/type/singleitem/folder_0068.pdf
69,932,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/932,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/932/filename/folder_0069.pdf/mapsto/pdf/type/singleitem/folder_0069.pdf
70,928,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/928,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/928/filename/folder_0070.pdf/mapsto/pdf/type/singleitem/folder_0070.pdf
71,990,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/990,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/990/filename/folder_0071.pdf/mapsto/pdf/type/singleitem/folder_0071.pdf
72,891,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/891,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/891/filename/folder_0072.pdf/mapsto/pdf/type/singleitem/folder_0072.pdf
73,1007,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1007,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1007/filename/folder_0073.pdf/mapsto/pdf/type/singleitem/folder_0073.pdf
74,974,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/974,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/974/filename/folder_0074.pdf/mapsto/pdf/type/singleitem/folder_0074.pdf
75,967,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/967,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/967/filename/folder_0075.pdf/mapsto/pdf/type/singleitem/folder_0075.pdf
76,892,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/892,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/892/filename/folder_0076.pdf/mapsto/pdf/type/singleitem/folder_0076.pdf
77,906,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/906,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/906/filename/folder_0077.pdf/mapsto/pdf/type/singleitem/folder_0077.pdf
78,944,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/944,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/944/filename/folder_0078.pdf/mapsto/pdf/type/singleitem/folder_0078.pdf
79,1014,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1014,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1014/filename/folder_0079.pdf/mapsto/pdf/type/singleitem/folder_0079.pdf
80,994,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/994,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/994/filename/folder_0080.pdf/mapsto/pdf/type/singleitem/folder_0080.pdf
81,1015,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1015,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1015/filename/folder_0081.pdf/mapsto/pdf/type/singleitem/folder_0081.pdf
82,866,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/866,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/866/filename/folder_0082.pdf/mapsto/pdf/type/singleitem/folder_0082.pdf
83,900,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/900,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/900/filename/folder_0083.pdf/mapsto/pdf/type/singleitem/folder_0083.pdf
84,980,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/980,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/980/filename/folder_0084.pdf/mapsto/pdf/type/singleitem/folder_0084.pdf
85,971,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/971,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/971/filename/folder_0085.pdf/mapsto/pdf/type/singleitem/folder_0085.pdf
86,920,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/920,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/920/filename/folder_0086.pdf/mapsto/pdf/type/singleitem/folder_0086.pdf
87,1012,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1012,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1012/filename/folder_0087.pdf/mapsto/pdf/type/singleitem/folder_0087.pdf
88,878,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/878,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/878/filename/folder_0088.pdf/mapsto/pdf/type/singleitem/folder_0088.pdf
89,901,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/901,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/901/filename/folder_0089.pdf/mapsto/pdf/type/singleitem/folder_0089.pdf
90,889,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/889,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/889/filename/folder_0090.pdf/mapsto/pdf/type/singleitem/folder_0090.pdf
91,1023,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1023,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1023/filename/folder_0091.pdf/mapsto/pdf/type/singleitem/folder_0091.pdf
92,997,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/997,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/997/filename/folder_0092.pdf/mapsto/pdf/type/singleitem/folder_0092.pdf
93,1005,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1005,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1005/filename/folder_0093.pdf/mapsto/pdf/type/singleitem/folder_0093.pdf
94,907,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/907,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/907/filename/folder_0094.pdf/mapsto/pdf/type/singleitem/folder_0094.pdf
95,934,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/934,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/934/filename/folder_0095.pdf/mapsto/pdf/type/singleitem/folder_0095.pdf
96,880,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/880,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/880/filename/folder_0096.pdf/mapsto/pdf/type/singleitem/folder_0096.pdf
97,976,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/976,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/976/filename/folder_0097.pdf/mapsto/pdf/type/singleitem/folder_0097.pdf
98,986,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/986,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/986/filename/folder_0098.pdf/mapsto/pdf/type/singleitem/folder_0098.pdf
99,936,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/936,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/936/filename/folder_0099.pdf/mapsto/pdf/type/singleitem/folder_0099.pdf
100,946,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/946,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/946/filename/folder_0100.pdf/mapsto/pdf/type/singleitem/folder_0100.pdf
101,930,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/930,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/930/filename/folder_0101.pdf/mapsto/pdf/type/singleitem/folder_0101.pdf
102,897,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/897,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/897/filename/folder_0102.pdf/mapsto/pdf/type/singleitem/folder_0102.pdf
103,1021,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/1021,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/1021/filename/folder_0103.pdf/mapsto/pdf/type/singleitem/folder_0103.pdf
104,955,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/955,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/955/filename/folder_0104.pdf/mapsto/pdf/type/singleitem/folder_0104.pdf
105,952,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/952,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/952/filename/folder_0105.pdf/mapsto/pdf/type/singleitem/folder_0105.pdf
106,885,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/885,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/885/filename/folder_0106.pdf/mapsto/pdf/type/singleitem/folder_0106.pdf
107,879,https://dc.lib.unc.edu/cdm/ref/collection/03709/id/879,https://dc.lib.unc.edu/utils/getdownloaditem/collection/03709/id/879/filename/folder_0107.pdf/mapsto/pdf/type/singleitem/folder_0107.pdf
