id,writer
interview_0274_001,Louise L. Abbitt
interview_0275_001,Louise L. Abbitt
interview_0276_001,Louise L. Abbitt
interview_0277_001,John H. Abner
interview_0278_001,John H. Abner
interview_0279_001,Edwin Massengill
interview_0279_001,John H. Abner
interview_0280_001,John H. Abner
interview_0281_001,John H. Abner
interview_0282_001,John H. Abner
interview_0283_001,John H. Abner
interview_0284_001,John H. Abner
interview_0285_001,George Anderson
interview_0286_001,Loretto C. Bailey
interview_0287_001,James S. Beaman
interview_0288_001,James S. Beaman
interview_0289_001,James S. Beaman
interview_0290_001,James S. Beaman
interview_0291_001,Cora Bennett
interview_0292_001,Cora Bennett
interview_0293_001,Cora Bennett
interview_0294_001,Cora Bennett
interview_0295_001,Cora Bennett
interview_0296_001,Cora Bennett
interview_0297_001,Cora Bennett
interview_0298_001,Cora Bennett
interview_0299_001,Edwin Bjorkman
interview_0300_001,Emmett R. Brown
interview_0301_001,Mary Pearl Brown
interview_0302_001,Emmett R. Brown
interview_0303_001,Mary Pearl Brown
interview_0304_001,Mary Pearl Brown
interview_0305_001,Mary Pearl Brown
interview_0306_001,Emmett R. Brown
interview_0307_001,Emmett R. Brown
interview_0308_001,Emmett R. Brown
interview_0309_001,Beth Cannady
interview_0310_001,Beth Cannady
interview_0311_001,Beth Cannady
interview_0312_001,Douglas Carter
interview_0313_001,Douglas Carter
interview_0314_001,Douglas Carter
interview_0315_001,Douglas Carter
interview_0316_001,Douglas Carter
interview_0317_001,Douglas Carter
interview_0318_001,Douglas Carter
interview_0319_001,Douglas Carter
interview_0320_001,Douglas Carter
interview_0321_001,Pitts Cobb
interview_0322_001,Pitts Cobb
interview_0323_001,Stanley Combs
interview_0324_001,Stanley Combs
interview_0325_001,Stanley Combs
interview_0326_001,Stanley Combs
interview_0327_001,Stanley Combs
interview_0328_001,Stanley Combs
interview_0329_001,Stanley Combs
interview_0330_001,Stanley Combs
interview_0331_001,Harriet W. Corley
interview_0332_001,Harriet W. Corley
interview_0333_001,Dudley W. Crawford
interview_0334_001,Henry L. Crowell
interview_0335_001,Omar Darrow
interview_0336_001,Omar Darrow
interview_0337_001,Omar Darrow
interview_0338_001,Omar Darrow
interview_0339_001,Omar Darrow
interview_0340_001,Omar Darrow
interview_0341_001,Omar Darrow
interview_0342_001,Omar Darrow
interview_0343_001,Ethel Deal
interview_0344_001,Ethel Deal
interview_0345_001,Ethel Deal
interview_0346_001,Ethel Deal
interview_0347_001,Ethel Deal
interview_0348_001,Ethel Deal
interview_0349_001,Ethel Deal
interview_0350_001,Ethel Deal
interview_0351_001,Ethel Deal
interview_0352_001,Ethel Deal
interview_0353_001,Ethel Deal
interview_0354_001,Ethel Deal
interview_0355_001,Ethel Deal
interview_0356_001,Ethel Deal
interview_0357_001,Ethel Deal
interview_0358_001,Ethel Deal
interview_0359_001,Clalee Dunnagan
interview_0359_001,Claude V. Dunnagan
interview_0360_001,Clalee Dunnagan
interview_0360_001,Claude V. Dunnagan
interview_0361_001,Clalee Dunnagan
interview_0361_001,Esther Searle Pinnix
interview_0362_001,Clalee Dunnagan
interview_0362_001,Claude V. Dunnagan
interview_0363_001,Clalee Dunnagan
interview_0363_001,Claude V. Dunnagan
interview_0364_001,Clalee Dunnagan
interview_0365_001,Claude V. Dunnagan
interview_0366_001,Claude V. Dunnagan
interview_0367_001,Claude V. Dunnagan
interview_0368_001,Claude V. Dunnagan
interview_0369_001,Claude V. Dunnagan
interview_0370_001,Claude V. Dunnagan
interview_0371_001,Claude V. Dunnagan
interview_0372_001,Claude V. Dunnagan
interview_0373_001,Harry Fain
interview_0374_001,Harry Fain
interview_0375_001,Harry Fain
interview_0376_001,Harry Fain
interview_0377_001,Harry Fain
interview_0378_001,Harry Fain
interview_0379_001,William O. Foster
interview_0380_001,William O. Foster
interview_0381_001,William O. Foster
interview_0382_001,William O. Foster
interview_0383_001,William O. Foster
